,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u269360,Anima Mundi,Взаимодействие с мужчинами. ,"Здравствуйте, Инна!Можно ли с Вами поработать?Слежу за Вашей темой: https://www.b17.ru/forum/topic.php?id=93473&p=19#topic_top  Очень нравится Ваш метод работы.Коротко о проблеме.У меня не складываются отношения с парнями. Их, можно сказать, вообще нет в моей жизни. Вернее, они есть, но до отношений дело даже не доходит. Я много с ними переписываюсь, хожу на свидания. Но это ничем вообще не заканчивается. Либо парни куда-то пропадают, либо мне неинтересно, и я сама пропадаю.У себя отмечаю следующие проблемы:1.	Нет полного понимания, зачем мне вообще нужен парень? Какой-то чисто интуитивный (наверное, природный) интерес и к парням, и к отношениям с ними. А вот мозгом я понять не могу, зачем мне это надо?2.	Довольно низкая самооценка в отношениях с парнями. Часто на них залипаю, не понимаю своих границ и не умею их отстаивать, не умею просить, не требую подарков и т.п.3.	Когда парни пропадают, я страдаю от чувства отвергнутого. Более подробно о нем я писала в своей теме - https://www.b17.ru/forum/topic.php?id=95701&p=3&nom=128#1284.	Страх замужества. Видимо, потому что примеры моих родителей мне не очень нравятся… хотя мой критический ум понимает, что бывают и гораздо хуже отношения у людей. У моих родителей еще не все так плохо. Но мне такой формат не нравится. А какой бы я хотела, я не знаю, ибо нет положительных примеров счастливых семей перед глазами.5.	Повторяющиеся ситуации. Длительное общение по переписке. Задушевные многочасовые разговоры и флирт. Так может быть даже около года. А потом бах! И оказывается, что парень нашел себе девушку или женился… мне больно и обидно, что выбор пал не на меня, я страдаю и мучаюсь от боли. В последний раз еще и времени потраченного было жалко.",2018-02-06 21:29,21,https://www.b17.ru/forum/topic.php?id=105049
1,u202753,Tatiana24,как изменить отношение к себе ,"Инна, прочитала все ваши статьи, мне близка ваша история.Меня зовут Татьяна, я начала консультироваться по этой теме у другого специалиста, но не чувствую, что он понимает в чем проблема и может помочь.Я чувствую, что недостаточно уверена в себе, плохо устанавливаю границы и через какое то время меня начинают критиковать в отношениях, сначала хозяйственность потом внешность. у меня было три таких случая в продолжительных отношениях и я не знаю как себя вести. в последних мне через два года на вопрос почему мы не женимся сказал МЧ, что я не идеальная хозяйка. При этом мы не живем вместе и я не идеальная хозяйка у него. То есть я должна показать товар лицом в полной красе, прежде чем купец купит. А я так не хочу, не хочу чтобы меня воспитывали. Я считаю, что я хорошо веди быт - дома всегда убрано и я хорошо готовлю. Но делаю это по необходимости, без удовольствия. Я бы хотела понять почему со мной так происходит и почему я выбираю таких мужчин и поведением даю понять, что со мной так можно. я думала после прошлой двухлетней работы все прошло и два года действительно все было отлично. Но вот недавно всплыла такая ситуация и я поняла, что это тоже самое",2020-05-20 11:35,1,https://www.b17.ru/forum/topic.php?id=315572
2,u417212,Каюм,Секс с женщиной-психологом ,"Здравствуйте! Я обращаюсь к мужчинам, которые посещали психологов-женщин. Есть ли среди вас такие, у кого отношения с психологом дошли до секса? Если да, то просьба поделиться кратко или полно, как у вас дело дошло до секса.",2020-05-22 23:15,7,https://www.b17.ru/forum/topic.php?id=315921
3,u439562,Cuba77,Что такое сексуальная объективация? Почему это плохо? ,"Что плохого в сексуальной объективации? Многие феминистки выступают против сексуальных образов в рекламе и кино, потому что это ""эксплуатация женской сексуальности"" А я в этом ничего плохого не вижу. Женщины сами на это идут и зарабатывают огромные деньги. А ""секс продаст всё"", так что это ещё и двигатель капиталистической экономики. Я не вижу ничего унизительного для женщин в том, что они ""объективируются"". Я читал интервью одной стриптизёрши, её спрашивали: -Вас не унижает, что Вы вынуждены танцевать перед похотливыми мужиками? -А что же унизительного? Меня все хотят, а я никому не даю! То есть, пусть женщины и принимают сексуальные позы в рекламе и на плакатах и говорят своими телами ""я вся твоя, возьми меня!"", но на самом деле, они говорят ""Смотри, какая я сексуальная, но тебе я не достанусь! Всё, что тебе остаётся, это пускать на меня слюни"" Что же здесь унизительного? На мой взгляд, это совсем даже наоборот, элемент доминирования! Женщины дразнят мужчин своей сексуальностью, но мужчины ничего не могут сделать, кроме как смотреть и восхищаться, потому что статью 131 УК РФ никто не отменял. Если феминистки думают, что насмотревшись на сексуальные плакаты мужчины побегут кого-то насиловать, то это глупость! В СССР ""секса не было"", но изнасилования, почему-то, были! Если же речь идёт о травле женщин, занимающихся подобной деятельностью, то тут уже нужно менять общественное мнение при помощи СМИ. Рассказывать, что это нормально, что это ЕЁ тело и ЕЁ дело, а ты сейчас возмущаешься и оскорбляешь её из зависти! Она слишком хороша для тебя, вот и бесишься! К тому же, можно ли сексуально объективировать мужчин? Одна из феминисток писала: "" Во избежание #мужчинтоже: качки - это гипертрофированная сила (субъект, выражающий доминирование), объективация - это гипертрофированная сексуальная доступность (объект, не выражающий ничего или выражающий подчинение). Может качки и устанавливают нереалистичные стандарты, но, по крайней мере, их не изображают вещами, которые можно в любой момент получить без учета желания ""вещей"".    В культуре секса женщина унижена (как животинка облизывающая ягодку), а мужчина доминант, поэтому сексуальный образ мужчины - это личность, сила, уверенность с небольшой полоской обнаженных мускулов, а сексуальная женщина - это стоящее раком тело облизывающее ягодку (от личности не осталось ничего). То есть, сексуальный образ мужчины - субъект. сексуальный образ женщины - объект. Это вот на таких глубоких уровнях"" Ну, такая у мужчин сексуальность, выражающая силу. Женщины с большей вероятностью купят товар, который рекламировал качок с шестью кубиками пресса. Такое ощущение, будто феминистки сами являются женоненавистницами, считая женскую сексуальность оскорбительной и унизительной, а мужскую-властной и доминирующей. Ощущение, что они ненавидят женственность и всё женское и в тайне восхищаются и завидуют мужчинамА что думают психологи? Что вы думаете об объективации?",2020-05-25 22:07,0,https://www.b17.ru/forum/topic.php?id=316294
4,u455974,Тари,Расставание ,"Здравствуйте, так получилось, что мы с моим партнером встречались около полутора лет, но с каждым днем мы все меньше подходили друг другу. Впоследствии он перестал обращать на меня внимание совсем, и требовал все больше поддержки, ничего не давая взамен. В середине мая он довел меня до того, что я решила с ним расстаться, и он принял мое решение. Спустя полтора недели после разрыва он написал мне еще раз, говоря о том, что он хочет, чтобы мы остались друзьями. Мы поговорили о каких то пустяках, а потом он решил выяснить, что я к нему чувствую и даже предложил встретиться, но я отказалась. Однако это его появление сильно испортило мой настрой. В городе у меня мало друзей или практически нет. так что я бы очень хотела бы знать, что мне делать и как пережить это расставание...",2020-05-24 20:05,1,https://www.b17.ru/forum/topic.php?id=316142
5,u467789,Алексей390,Помогите справиться с приступами гнева. ,"Мне 35 лет, жена, сыну 8 лет, собака, окончил вуз, работаю на себя, я ип, работа связана с интеллектуальной деятельностью. Проблема следующая: я не умею контролировать эмоции. На практике это означает, что я кричу, матерюсь, бью посуду, ломаю вещи или мебель. Как правило, происходит это не сразу, обида накапливается и потом я взрываюсь. В теории я понимаю, что достаточно строго что-то сказать, например, в отношении сына. Обозначить, что меня не нужно трогать, уходить из дома. Еще в интернете пишут, что нужно повесить боксерскую грушу, подумать о чем-то приятном. Еще я медитирую, занимаюсь йогой. На практике меня накрывает и я часами не могу ни о чем другом думать. В лучшем случае - веду себя грубо и могу нахамить, в худшем - ломаю и крушу. Жена говорит, что боится меня, всегда на стреме, переживает, что сын подрос и в будущем будет копировать поведение отца. Я тоже не в восторге. После своих закидонов, чувствую себя обессиленным и иногда буквально не могу встать с постели на следующий день. Причем я даже не помню, что говорил в состоянии аффекта, а спустя время забываю про сам эпизод. Чего не сказать о моих родственниках, которые это помнят годами. Наследственность тоже будь здоров - отец лупил меня лет до 16 - пока я из дома не уехал. Мать нервная, вспыльчивая, а ее мама - моя бабушка даже стульями и сковородками швырялась. Что для мне будет результатом консультации: хочу научиться контролировать эмоции и выражать их словами и интонацией - без физических проявлений и ярости. Либо хоть как-то приблизиться к этому результату. Буду рад, если откликнетесь =)",2020-05-24 11:53,2,https://www.b17.ru/forum/topic.php?id=316081
6,u417212,Каюм,Начальство на работе спрашивает ваше фактическое местонахождение ,"Здравствуйте! Недавно с одним знакомым произошел случай, когда на работе его начальство затребовало у всех своих сотрудников указать их свое местонахождение, откуда они удаленно проводят работу. Предлогом послужило то, что с некоторыми сотрудниками они потеряли связь. Некоторых работников такое требование покоробило. Вопрос, почему - скорее относится к психологии, ведь объективно жизнь работника никак не изменится, если он сообщит начальству о своем местонахождении: никакого вреда от этого он не получит и ничем не рискует. Что ему тогда стоит просто взять и выполнить просьбу начальства? А как бы вы отнеслись, если бы вы работали удаленно и вам бы поступило такое требование от начальства? По возможности, просьба писать свой город, потому что интересно, как жители разных городов отнеслись бы к такой просьбе.[ Сообщение изменено: 23.05.2020 - 15:15 ]",2020-05-23 15:03,5,https://www.b17.ru/forum/topic.php?id=315983
7,u624428,Redmiii,Эгоцентризм ,"Всю жизнь ревностно отношусь к ощущению себя не самой главной, важной, основной в любом деле, компании, отношениях...люблю внимание, быть важной, лучшей. Могу возненавидеть за неудачное сравнение меня с кем либо, даже с людьми из прошлого. Я реально считаю что если я есть у человека в жизни то это своеобразный подарок судьбы, и очень полезное испытание, для развития, ведь общение со мной может только улучшать, развивать и делать особеннее. Поэтому когда кто-то с этим не согласен, сильно огорчают меня и отталкивают от себя, вплоть до полного прекращения общения. Зачем мне общаться с теми кто меня не ценит? Вот это что, чрезмерный эгоцентризм или нарциссизм? И почему блин это плохо то? Почему я не имею право хотеть быть первой всегда, или соревноваться и убеждаться в этом. Да так жить не просто, но мне это нужно, важно, почему нет? Почему это не вариант нормы? Но кто меня знает считают что я чрезмерна в этом, слишком категорична, но мне и завидуют все почти. Поэтому отношения строятся не просто.",2020-05-22 15:21,9,https://www.b17.ru/forum/topic.php?id=315875
8,u625279,Arini,"Трудности общения, самореализации, взаимодействия с людьми. ","Здравствуйте. Я в ступоре. Чувствую себя безвольным овощем, который ничего не хочет, ему все равно, не знающий что ему выбрать, просто разучившийся разговаривать и т. д.О себе.И по порядку. Мне 22 года. Живу отдельно от родителей, работаю по профессии, которую выбрала сама и хотела заниматься. Есть любимый человек, в принципе остались друзья с универа и несколько связей с кем есть еще возможность сблизиться.В школе я была достаточно скромным, тихим персонажем. Периодически находились люди, с кем я сближалась, общалась вне (чем порой подвергала их в шок: ""Да вы ее вне школы видели?"") ну или как минимум поддерживала ""светские разговоры"" в пределах учреждения. Под конец у меня выработалась не любовь к классу, к школе. Старшие классы еле досиживала, поэтому все самоедство по поводу проявления себя переросло в нежелание. Вне школы ситуация почти такая же, но я его провела кружках, курсах репетиторах изредка бунтуя и пытаясь куда-нибудь вырываться. В универе у меня сформировалась компания и первые 2 курса люди не верили, что я интроверт), считали меня активной. Я вытаскивала себя на сцену, на ""звездные роли"" не просилась, зная в какой ситуации могу застопарить. Пыталась подрабатывать фотографом, узнавать про ""коллег"". По учебе часто надо было защищать свои работу, ввиду своей лени и не любви писать речи и прочее - начала нести отсебятину, тем прокачивала способность выступать и говорить перед публикой.И вот работа. Первый этап привыкания к темпу, ко всем процессам, прошел. Сформировалась база людей, которая считает меня неплохим специалистом, звала меня в другие проекты, компании. Говорят, что у меня есть потенциал. И вот даже горжусь собой и строю примерные планы.И вот опять все накопилось и нахлынуло.  Общение. 1)На работах коллектив старше (хоть не всегда значительно) и как-то воспринимаешь их дающих работу и не более. О не работе и речи быть не может. Заобщаться, сблизиться или не получалось или не хотелось. Или кто-то перетягивает на себя внимание и тебя перестают слушать, кому-то просто не хочется что рассказывать. Да и когда успевают? Всегда же завал.2) Вне. Изредка возникаю в чатах, особо уже не читая. Иногда выползаю на встречи. С друзьями любимого человека не сближаюсь и не особо хочу, хотя некоторые ко мне тянулись. В итоге чаще молчишь. Чем чаще молчишь тем сложнее начать разговаривать без всякого мямленья, не выговаривания слов и других косяков речи.3) С любимым человеком, как то все бытовуха. Наблюдаю как он часами с кем то переписывается, болтает по телефону. Становится стыдно. (По телефону тоже не могу разговаривать, на работе отвлекает, при ком то стесняюсь, еще щекой постоянно то громкую связь включу ,у то еще что то)4) С родными. Лишний раз не пишу, не звоню. Потребности спросить как дела нет, что спрашивать и рассказывать - не знаю. Накопленное за время еще как то выжимаю из себя при встречах. Опять же давят на совесть, что я такой не правильный и с виду безразличный и не о ком не помнящий.5) По работе. Любой диалог с обсуждением съемок, проектов наводит на меня панику и я ухожу в игнор. Мне сложно сказать цену, просить предоплату и спрашивать когда мне заплатят, обговаривать условия, предлагать что то, мне легче выйти из сети, сделать работу, потом зайти кинуть в заказчиков макет и опять убежать. И я понимаю, что в этом нет ничего такого, но продолжаю так себя вести. А ведь не правильно это. О самореализации и желанияхЕсть представления над чем мне надо работать, что надо изучить программы, может в дальнейшем выбрать какое то узкое направление в деятельности. А вот ребята молодцы соц сети ведут, что то делают, обновляют портфолио. И вот есть возможность сделать кучу всего, что вроде бы мне интересно. А потом. Не хочу. Не хочу проходить тот обучающий курс, который купила, не хочу бороться за какие то свои идеи, давайте че нибудь по быстрому и отстаньте. Не хочу я искать что-то. Да и зп мне ваша не больно то нужна. Не хочу искать подработку. Мотивации нет. Объявили карантин-и я вообще готова больше никуда не выходить, перестать ездить к родителям, не хочу выходить в скайп с кем-то общаться.   Единственное, чем грежу в последнее время - украшательством. Смотрю на луки, думаю, что надо как то заняться гардеробом, мечтаю несколько месяцев о фотосессии, что не мешало бы начать заниматься спортом по ютюбу, читаю про уход, составы косметики и что надо засесть закупить, и вообще решиться на удаление волос с тела. И прочее. Но все вот вот, сейчас.О планах и личной жизниМч периодически хочет переехать в другой город. Каждый раз меня это пугает. С одной стороны может было бы не плохо, больше возможностей, если выбрать более большой город. Но мне стыдно уезжать дальше от родителей. Итак с ними не особо общаюсь, а тут вообще брошу. Я в соседний город уезжала с истериками. И вообще я должна быть замужем по их мнению! И мч должен с ними общаться и приходить на все семейные праздники. А он их избегает, не хочет. А если уедем, то и подавно. А мне что делать? Портить с кем то отношения и выбирать одного, я не хочу. А как создать идиллию понятия не имею. Родители любили давить авторитетом, я не умею с ними спорить. Только тихушничать. Моя демократическая натура не терпит конфликтов, а он может назреть. (А еще внезапная ревностная тревожность возникала и я начинала всякие измены придумывать, хоть поводов нет и ничего подозрительного тоже.)И вот я в ступоре. Куда деваться, с чего начать и как. Понятно, что надо уживаться между всеми сферами жизни, не забрасывать важное. И у всех рецепт свой. Как преодолеть этот блок общения, как начать обсуждать проблемы с близкими, где найти этот пинок к действию. Все мысли приходят наедине с собой, вне ситуации. А воплотить, организовать-чего то не хватает. Хочется плыть по течению, но ощущение, что ни к чему хорошему это не приведет не покидает. И надо что то с собой делать...",2020-05-23 22:56,2,https://www.b17.ru/forum/topic.php?id=316037
9,u120547,16wmkNskma,Это меня сломило. ,"Где тут тренинги какие-нибудь или группы терапевтические? У меня такая проблема с детства. Не могу ни с кем заговорить. Точнее поговорить. Меня это уже выматывает. Т.к знакомлюсь с интересными людьми, они меня зовут гулять, хотят со мной поговорить, а я в ответ всегда молчу. В итоге таким образом теряю ВСЕХ. Я уже не знаю что делать. Очень расстраиваюсь и переживаю. Понравился один человек, пригласил гулять, и все это время, что мы гуляли, он только и болтал, а я лишь слушала. В итоге он первый предложил разойтись по домам. Я понимаю, что все это из-за моего молчания. Но я так больше не могу. Помогите.",2020-05-25 09:48,11,https://www.b17.ru/forum/topic.php?id=316200
